ProteinID	Gene
CADH4+AF8-HUMAN	CDH4
CADH5+AF8-HUMAN	CDH5
CADH6+AF8-HUMAN	CDH6
CADH7+AF8-HUMAN	CDH7
CADH8+AF8-HUMAN	CDH8
CADH9+AF8-HUMAN	CDH9
CADM1+AF8-HUMAN	CADM1
CADM2+AF8-HUMAN	CADM2
CADM3+AF8-HUMAN	CADM3
CADM4+AF8-HUMAN	CADM4
CAH12+AF8-HUMAN	CA12
CAH14+AF8-HUMAN	CA14
CAH4+AF8-HUMAN	CA4
CAHD1+AF8-HUMAN	CACHD1
CAHM2+AF8-HUMAN	CALHM2
CALCR+AF8-HUMAN	CALCR
CALRL+AF8-HUMAN	CALCRL
CALY+AF8-HUMAN	CALY
CASD1+AF8-HUMAN	CASD1
CASR+AF8-HUMAN	CASR
CBPD+AF8-HUMAN	CPD
CBPM+AF8-HUMAN	CPM
CC080+AF8-HUMAN	C3orf80
CC50A+AF8-HUMAN	TMEM30A
CC50C+AF8-HUMAN	TMEM30CP
CCG1+AF8-HUMAN	CACNG1
CCG2+AF8-HUMAN	CACNG2
CCG3+AF8-HUMAN	CACNG3
CCG4+AF8-HUMAN	CACNG4
CCG5+AF8-HUMAN	CACNG5
CCG6+AF8-HUMAN	CACNG6
CCG7+AF8-HUMAN	CACNG7
CCG8+AF8-HUMAN	CACNG8
CCGL+AF8-HUMAN	TMEM37
CCKAR+AF8-HUMAN	CCKAR
CCR10+AF8-HUMAN	CCR10
CCR1+AF8-HUMAN	CCR1
CCR2+AF8-HUMAN	CCR2
CCR3+AF8-HUMAN	CCR3
CCR4+AF8-HUMAN	CCR4
CCR5+AF8-HUMAN	CCR5
CCR6+AF8-HUMAN	CCR6
CCR7+AF8-HUMAN	CCR7
CCR8+AF8-HUMAN	CCR8
CCR9+AF8-HUMAN	CCR9
CCRL2+AF8-HUMAN	CCRL2
CD109+AF8-HUMAN	CD109
CD14+AF8-HUMAN	CD14
CD151+AF8-HUMAN	CD151
CD166+AF8-HUMAN	ALCAM
CD177+AF8-HUMAN	CD177
CD180+AF8-HUMAN	CD180
CD19+AF8-HUMAN	CD19
CD1A+AF8-HUMAN	CD1A
CD1B+AF8-HUMAN	CD1B
CD1C+AF8-HUMAN	CD1C
CD1D+AF8-HUMAN	CD1D
CD1E+AF8-HUMAN	CD1E
CD20+AF8-HUMAN	MS4A1
CD226+AF8-HUMAN	CD226
CD22+AF8-HUMAN	CD22
CD244+AF8-HUMAN	CD244
CD248+AF8-HUMAN	CD248
CD24+AF8-HUMAN	CD24
CD276+AF8-HUMAN	CD276
CD27+AF8-HUMAN	CD27
CD28+AF8-HUMAN	CD28
CD2+AF8-HUMAN	CD2
CD302+AF8-HUMAN	CD302
CD320+AF8-HUMAN	CD320
CD33+AF8-HUMAN	CD33
